x(m)        y(m)        z(m)        h max (m)
 22444.10000  1284.01000     0.00000     6.74720
 22519.90000  1284.01000     0.00000     6.79200
 22595.70000  1284.01000     0.00000     6.96090
 22671.50000  1284.01000     0.00000     6.84820
 22747.40000  1284.01000     0.00000     6.73990
 22823.20000  1284.01000     0.00000     8.50550
 22899.00000  1284.01000     0.00000     6.93740
 22974.80000  1284.01000     0.00000     6.98130
 23050.60000  1284.01000     0.00000     7.37400
 23126.40000  1284.01000     0.00000     6.73860
 23202.20000  1284.01000     0.00000     6.73800
 23278.00000  1284.01000     0.00000     6.73740
 23353.80000  1284.01000     0.00000     6.73700
 23429.60000  1284.01000     0.00000     6.73760
 23505.40000  1284.01000     0.00000     6.74810
 23581.20000  1284.01000     0.00000     7.19160
 23657.10000  1284.01000     0.00000     7.39260
 23732.90000  1284.01000     0.00000     7.15360
 23808.70000  1284.01000     0.00000     6.96350
 23884.50000  1284.01000     0.00000     6.75800
